id,region1,region2,region3,locality,postcode,latitude,longitude,elevation,iso2,fips,nuts,hasc,stat,timezone,utc,dst
1005290201,Burgenland,Jennersdorf,Mogersdorf,Deutsch Minihof,8382,46.97153,16.239218,228,AT-1,AU01,AT113,AT.BU.JE,100,Europe/Vienna,+01:00,+02:00
1005290204,Burgenland,Jennersdorf,Mogersdorf,Mogersdorf,8382,46.949942,16.212886,247,AT-1,AU01,AT113,AT.BU.JE,101,Europe/Vienna,+01:00,+02:00
1005290206,Burgenland,Jennersdorf,Mogersdorf,Wallendorf,8382,46.972108,16.23312,229,AT-1,AU01,AT113,AT.BU.JE,102,Europe/Vienna,+01:00,+02:00
1005290222,Burgenland,Jennersdorf,Mühlgraben,Mühlgraben,8385,46.893695,16.041361,345,AT-1,AU01,AT113,AT.BU.JE,106,Europe/Vienna,+01:00,+02:00
1005290214,Burgenland,Jennersdorf,Neuhaus am Klausenbach,Bonisdorf,8384,46.850043,16.062436,353,AT-1,AU01,AT113,AT.BU.JE,103,Europe/Vienna,+01:00,+02:00
1005290219,Burgenland,Jennersdorf,Neuhaus am Klausenbach,Bonisdorf,8385,46.844005,16.031902,261,AT-1,AU01,AT113,AT.BU.JE,103,Europe/Vienna,+01:00,+02:00
1005290220,Burgenland,Jennersdorf,Neuhaus am Klausenbach,Kalch,8385,46.856512,16.010231,294,AT-1,AU01,AT113,AT.BU.JE,104,Europe/Vienna,+01:00,+02:00
1005290221,Burgenland,Jennersdorf,Neuhaus am Klausenbach,Krottendorf bei Neuhaus am Klausenbach,8385,46.854291,16.05511,323,AT-1,AU01,AT113,AT.BU.JE,105,Europe/Vienna,+01:00,+02:00
1005290223,Burgenland,Jennersdorf,Neuhaus am Klausenbach,Neuhaus am Klausenbach,8385,46.872749,16.032832,320,AT-1,AU01,AT113,AT.BU.JE,107,Europe/Vienna,+01:00,+02:00
1005289072,Burgenland,Jennersdorf,Rudersdorf,Dobersdorf,7564,47.022222,16.144007,239,AT-1,AU01,AT113,AT.BU.JE,108,Europe/Vienna,+01:00,+02:00
1005289073,Burgenland,Jennersdorf,Rudersdorf,Rudersdorf,7564,47.051912,16.118949,246,AT-1,AU01,AT113,AT.BU.JE,109,Europe/Vienna,+01:00,+02:00
1005289074,Burgenland,Jennersdorf,Rudersdorf,Rudersdorf,7571,47.053055,16.123713,252,AT-1,AU01,AT113,AT.BU.JE,109,Europe/Vienna,+01:00,+02:00
1005290208,Burgenland,Jennersdorf,Sankt Martin an der Raab,Doiber,8383,46.917444,16.108254,284,AT-1,AU01,AT113,AT.BU.JE,110,Europe/Vienna,+01:00,+02:00
1005290209,Burgenland,Jennersdorf,Sankt Martin an der Raab,Eisenberg an der Raab,8383,46.906643,16.139799,321,AT-1,AU01,AT113,AT.BU.JE,17523,Europe/Vienna,+01:00,+02:00
1005290210,Burgenland,Jennersdorf,Sankt Martin an der Raab,Gritsch,8383,46.919326,16.095363,293,AT-1,AU01,AT113,AT.BU.JE,111,Europe/Vienna,+01:00,+02:00
1005290199,Burgenland,Jennersdorf,Sankt Martin an der Raab,Neumarkt an der Raab,8380,46.923002,16.161769,269,AT-1,AU01,AT113,AT.BU.JE,112,Europe/Vienna,+01:00,+02:00
1005290211,Burgenland,Jennersdorf,Sankt Martin an der Raab,Oberdrosen,8383,46.885627,16.1105,308,AT-1,AU01,AT113,AT.BU.JE,113,Europe/Vienna,+01:00,+02:00
1005290216,Burgenland,Jennersdorf,Sankt Martin an der Raab,Oberdrosen,8384,46.865894,16.093568,347,AT-1,AU01,AT113,AT.BU.JE,113,Europe/Vienna,+01:00,+02:00
1005290212,Burgenland,Jennersdorf,Sankt Martin an der Raab,Sankt Martin an der Raab,8383,46.912831,16.124785,286,AT-1,AU01,AT113,AT.BU.JE,114,Europe/Vienna,+01:00,+02:00
1005290139,Burgenland,Jennersdorf,Sankt Martin an der Raab,Welten,8350,46.914735,16.062362,347,AT-1,AU01,AT113,AT.BU.JE,115,Europe/Vienna,+01:00,+02:00
1005290213,Burgenland,Jennersdorf,Sankt Martin an der Raab,Welten,8383,46.916921,16.078098,317,AT-1,AU01,AT113,AT.BU.JE,115,Europe/Vienna,+01:00,+02:00
1005290224,Burgenland,Jennersdorf,Sankt Martin an der Raab,Welten,8385,46.898906,16.061238,329,AT-1,AU01,AT113,AT.BU.JE,115,Europe/Vienna,+01:00,+02:00
1005290202,Burgenland,Jennersdorf,Weichselbaum,Krobotek,8382,46.971571,16.189782,331,AT-1,AU01,AT113,AT.BU.JE,116,Europe/Vienna,+01:00,+02:00
1005290203,Burgenland,Jennersdorf,Weichselbaum,Maria Bild,8382,46.951389,16.179266,274,AT-1,AU01,AT113,AT.BU.JE,117,Europe/Vienna,+01:00,+02:00
1005290205,Burgenland,Jennersdorf,Weichselbaum,Rosendorf,8382,46.977404,16.211861,244,AT-1,AU01,AT113,AT.BU.JE,118,Europe/Vienna,+01:00,+02:00
1005290207,Burgenland,Jennersdorf,Weichselbaum,Weichselbaum,8382,46.94299,16.184161,239,AT-1,AU01,AT113,AT.BU.JE,119,Europe/Vienna,+01:00,+02:00
1005276046,Burgenland,Mattersburg,Antau,Antau,7042,47.772965,16.47652,186,AT-1,AU01,AT112,AT.BU.MA,124,Europe/Vienna,+01:00,+02:00
1005288841,Burgenland,Mattersburg,Bad Sauerbrunn,Bad Sauerbrunn,7202,47.774588,16.326452,282,AT-1,AU01,AT112,AT.BU.MA,136,Europe/Vienna,+01:00,+02:00
1005288791,Burgenland,Mattersburg,Baumgarten,Baumgarten,7021,47.737647,16.502404,253,AT-1,AU01,AT112,AT.BU.MA,120,Europe/Vienna,+01:00,+02:00
1005288792,Burgenland,Mattersburg,Draßburg,Draßburg,7021,47.746542,16.489879,229,AT-1,AU01,AT112,AT.BU.MA,121,Europe/Vienna,+01:00,+02:00
1005288848,Burgenland,Mattersburg,Forchtenstein,Forchtenstein,7212,47.71268,16.34037,427,AT-1,AU01,AT112,AT.BU.MA,122,Europe/Vienna,+01:00,+02:00
1005288797,Burgenland,Mattersburg,Hirm,Hirm,7024,47.787426,16.453958,184,AT-1,AU01,AT112,AT.BU.MA,125,Europe/Vienna,+01:00,+02:00
1005288798,Burgenland,Mattersburg,Krensdorf,Krensdorf,7031,47.785292,16.415921,194,AT-1,AU01,AT112,AT.BU.MA,139,Europe/Vienna,+01:00,+02:00
1005288790,Burgenland,Mattersburg,Loipersbach im Burgenland,Loipersbach im Burgenland,7020,47.697274,16.478131,288,AT-1,AU01,AT112,AT.BU.MA,126,Europe/Vienna,+01:00,+02:00
1005275908,Burgenland,Mattersburg,Marz,Marz,7221,47.717801,16.413727,263,AT-1,AU01,AT112,AT.BU.MA,127,Europe/Vienna,+01:00,+02:00
1005288846,Burgenland,Mattersburg,Mattersburg,Mattersburg,7210,47.736813,16.3963,239,AT-1,AU01,AT112,AT.BU.MA,128,Europe/Vienna,+01:00,+02:00
1005288847,Burgenland,Mattersburg,Mattersburg,Walbersdorf,7210,47.740339,16.417384,226,AT-1,AU01,AT112,AT.BU.MA,129,Europe/Vienna,+01:00,+02:00
1005288840,Burgenland,Mattersburg,Neudörfl,Neudörfl,7201,47.80063,16.292853,268,AT-1,AU01,AT112,AT.BU.MA,130,Europe/Vienna,+01:00,+02:00
